date,sales,marketing_spend
2023-01-01,1070,26
2023-01-02,1056,12
2023-01-03,1051,23
2023-01-04,1032,14
2023-01-05,1007,42
2023-01-06,979,47
2023-01-07,1059,12
2023-01-08,1048,48
2023-01-09,1051,30
2023-01-10,1024,21
2023-01-11,1051,13
2023-01-12,980,30
2023-01-13,1061,41
2023-01-14,891,38
2023-01-15,1017,12
2023-01-16,1014,12
2023-01-17,972,26
2023-01-18,1003,21
2023-01-19,946,19
2023-01-20,945,21
2023-01-21,1041,42
2023-01-22,970,47
2023-01-23,1024,26
2023-01-24,1072,46
2023-01-25,1065,22
2023-01-26,1007,29
2023-01-27,937,19
2023-01-28,992,35
2023-01-29,1006,49
2023-01-30,973,34
2023-01-31,1000,24
2023-02-01,1001,35
2023-02-02,1002,14
2023-02-03,964,45
2023-02-04,981,30
2023-02-05,1026,27
2023-02-06,980,33
2023-02-07,911,34
2023-02-08,982,12
2023-02-09,1034,37
2023-02-10,1060,19
2023-02-11,963,38
2023-02-12,1039,42
2023-02-13,1012,42
2023-02-14,977,32
2023-02-15,1026,30
2023-02-16,999,15
2023-02-17,939,41
2023-02-18,1045,20
2023-02-19,1002,29
2023-02-20,1008,21
2023-02-21,1033,15
2023-02-22,1012,35
2023-02-23,1015,12
2023-02-24,979,39
2023-02-25,977,22
2023-02-26,973,10
2023-02-27,1061,30
2023-02-28,1060,11
2023-03-01,1027,21
2023-03-02,1003,38
2023-03-03,851,12
2023-03-04,989,43
2023-03-05,894,10
2023-03-06,1033,19
2023-03-07,1025,39
2023-03-08,959,22
2023-03-09,1063,14
2023-03-10,962,24
2023-03-11,971,20
2023-03-12,1008,43
2023-03-13,1088,22
2023-03-14,1031,41
2023-03-15,1008,45
2023-03-16,948,27
2023-03-17,975,46
2023-03-18,916,25
2023-03-19,973,48
2023-03-20,1086,13
2023-03-21,1003,37
2023-03-22,992,29
2023-03-23,983,25
2023-03-24,1002,35
2023-03-25,1044,38
2023-03-26,991,10
2023-03-27,1025,16
2023-03-28,1097,38
2023-03-29,1032,36
2023-03-30,960,48
2023-03-31,978,40
2023-04-01,976,48
2023-04-02,1027,38
2023-04-03,1031,21
2023-04-04,1021,14
2023-04-05,1030,41
2023-04-06,939,35
2023-04-07,982,11
2023-04-08,904,24
2023-04-09,1036,48
2023-04-10,1030,30
2023-04-11,1026,27
2023-04-12,884,28
2023-04-13,1060,18
2023-04-14,941,24
2023-04-15,1016,24
2023-04-16,970,12
2023-04-17,1104,40
2023-04-18,992,26
2023-04-19,995,42
2023-04-20,1061,44
2023-04-21,905,18
2023-04-22,984,36
2023-04-23,1036,28
2023-04-24,1117,45
2023-04-25,1029,18
2023-04-26,1036,37
2023-04-27,1082,34
2023-04-28,933,21
2023-04-29,1018,15
2023-04-30,1064,36
2023-05-01,1091,39
2023-05-02,1049,22
2023-05-03,1080,35
2023-05-04,899,25
2023-05-05,1053,38
2023-05-06,996,17
2023-05-07,982,45
2023-05-08,976,21
2023-05-09,1029,24
2023-05-10,1011,12
2023-05-11,953,14
2023-05-12,989,30
2023-05-13,1009,20
2023-05-14,1032,43
2023-05-15,986,10
2023-05-16,1114,25
2023-05-17,1037,23
2023-05-18,928,10
2023-05-19,1019,14
2023-05-20,967,26
2023-05-21,994,29
2023-05-22,1117,26
2023-05-23,975,31
2023-05-24,1023,33
2023-05-25,987,10
2023-05-26,994,28
2023-05-27,895,48
2023-05-28,902,30
2023-05-29,1102,37
2023-05-30,1004,22
2023-05-31,980,40
2023-06-01,911,40
2023-06-02,924,30
2023-06-03,930,49
2023-06-04,1074,15
2023-06-05,1042,10
2023-06-06,1057,40
2023-06-07,1117,42
2023-06-08,990,14
2023-06-09,977,20
2023-06-10,847,10
2023-06-11,1115,21
2023-06-12,1002,40
2023-06-13,938,30
2023-06-14,1082,23
2023-06-15,1096,24
2023-06-16,1050,10
2023-06-17,1056,21
2023-06-18,1016,35
2023-06-19,1034,48
2023-06-20,1032,43
2023-06-21,999,10
2023-06-22,988,45
2023-06-23,978,41
2023-06-24,954,41
2023-06-25,1013,28
2023-06-26,956,25
2023-06-27,1068,22
2023-06-28,965,12
2023-06-29,1024,19
2023-06-30,996,19
2023-07-01,1006,29
2023-07-02,1004,39
2023-07-03,975,28
2023-07-04,982,12
2023-07-05,1072,48
2023-07-06,961,47
2023-07-07,959,41
2023-07-08,973,49
2023-07-09,915,31
2023-07-10,1014,48
2023-07-11,1001,13
2023-07-12,995,24
2023-07-13,962,19
2023-07-14,912,17
2023-07-15,1005,15
2023-07-16,972,34
2023-07-17,1050,41
2023-07-18,1039,33
2023-07-19,1033,15
2023-07-20,1002,42
2023-07-21,970,35
2023-07-22,1013,25
2023-07-23,1053,36
2023-07-24,984,20
2023-07-25,1002,23
2023-07-26,1000,46
2023-07-27,975,21
2023-07-28,930,28
2023-07-29,1162,45
2023-07-30,967,38
2023-07-31,1029,12
2023-08-01,1029,15
2023-08-02,1068,10
2023-08-03,965,35
2023-08-04,1043,27
2023-08-05,926,15
2023-08-06,1004,48
2023-08-07,975,31
2023-08-08,1117,19
2023-08-09,1034,30
2023-08-10,943,37
2023-08-11,1016,13
2023-08-12,944,20
2023-08-13,978,42
2023-08-14,1050,28
2023-08-15,1032,31
2023-08-16,974,27
2023-08-17,1004,11
2023-08-18,1079,16
2023-08-19,932,27
2023-08-20,951,18
2023-08-21,1021,11
2023-08-22,1112,43
2023-08-23,1045,49
2023-08-24,1071,41
2023-08-25,977,44
2023-08-26,959,19
2023-08-27,1002,48
2023-08-28,1114,17
2023-08-29,990,48
2023-08-30,1001,49
2023-08-31,978,38
2023-09-01,956,49
2023-09-02,914,32
2023-09-03,941,20
2023-09-04,1010,27
2023-09-05,978,33
2023-09-06,1075,12
2023-09-07,936,34
2023-09-08,946,49
2023-09-09,1037,17
2023-09-10,983,41
2023-09-11,1069,46
2023-09-12,1032,47
2023-09-13,950,48
2023-09-14,1091,30
2023-09-15,966,49
2023-09-16,961,40
2023-09-17,1021,16
2023-09-18,1017,29
2023-09-19,1030,38
2023-09-20,937,19
2023-09-21,919,35
2023-09-22,969,36
2023-09-23,882,16
2023-09-24,1044,32
2023-09-25,944,40
2023-09-26,986,29
2023-09-27,1066,10
2023-09-28,1073,10
2023-09-29,952,24
2023-09-30,967,47
2023-10-01,987,19
2023-10-02,1042,35
2023-10-03,1048,18
2023-10-04,1111,22
2023-10-05,984,43
2023-10-06,980,39
2023-10-07,952,13
2023-10-08,1008,27
2023-10-09,1037,11
2023-10-10,1105,29
2023-10-11,1014,36
2023-10-12,1019,14
2023-10-13,858,21
2023-10-14,898,25
2023-10-15,1037,46
2023-10-16,987,49
2023-10-17,924,11
2023-10-18,1022,40
2023-10-19,1071,24
2023-10-20,952,25
2023-10-21,1035,40
2023-10-22,1013,46
2023-10-23,998,48
2023-10-24,1092,33
2023-10-25,1010,24
2023-10-26,1022,41
2023-10-27,1002,20
2023-10-28,924,32
2023-10-29,1022,24
2023-10-30,1038,36
2023-10-31,1017,19
2023-11-01,1033,17
2023-11-02,954,46
2023-11-03,1010,14
2023-11-04,958,30
2023-11-05,1059,18
2023-11-06,1036,11
2023-11-07,1021,11
2023-11-08,1078,17
2023-11-09,1067,44
2023-11-10,1017,21
2023-11-11,1016,48
2023-11-12,948,33
2023-11-13,1001,27
2023-11-14,1007,33
2023-11-15,998,30
2023-11-16,975,40
2023-11-17,975,21
2023-11-18,1015,24
2023-11-19,972,45
2023-11-20,1105,47
2023-11-21,1001,45
2023-11-22,897,26
2023-11-23,984,41
2023-11-24,988,29
2023-11-25,946,29
2023-11-26,1042,18
2023-11-27,1084,33
2023-11-28,1051,17
2023-11-29,1006,23
2023-11-30,1026,44
2023-12-01,1005,18
2023-12-02,958,12
2023-12-03,950,12
2023-12-04,1001,47
2023-12-05,1026,30
2023-12-06,1002,26
2023-12-07,968,42
2023-12-08,978,43
2023-12-09,1001,23
2023-12-10,1032,37
2023-12-11,1047,40
2023-12-12,976,36
2023-12-13,867,16
2023-12-14,982,45
2023-12-15,894,31
2023-12-16,961,21
2023-12-17,962,27
2023-12-18,995,11
2023-12-19,1076,15
2023-12-20,1038,40
2023-12-21,963,10
2023-12-22,837,26
2023-12-23,954,30
2023-12-24,1007,12
2023-12-25,973,48
2023-12-26,1011,19
2023-12-27,1027,22
2023-12-28,1056,22
2023-12-29,972,19
2023-12-30,949,10
2023-12-31,1068,39
2024-01-01,1005,48
2024-01-02,1034,18
2024-01-03,976,36
2024-01-04,972,39
2024-01-05,912,43
2024-01-06,970,26
2024-01-07,1083,22
2024-01-08,1012,23
2024-01-09,993,38
2024-01-10,1136,42
2024-01-11,955,17
2024-01-12,970,24
2024-01-13,1023,46
2024-01-14,1041,42
2024-01-15,1072,49
2024-01-16,1031,40
2024-01-17,975,25
2024-01-18,1009,33
2024-01-19,930,36
2024-01-20,983,13
2024-01-21,1016,31
2024-01-22,1085,38
2024-01-23,1147,16
2024-01-24,1042,41
2024-01-25,939,33
2024-01-26,962,48
2024-01-27,964,11
2024-01-28,1040,20
2024-01-29,1083,34
2024-01-30,1050,21
2024-01-31,1006,38
2024-02-01,881,40
2024-02-02,972,14
2024-02-03,1021,30
2024-02-04,1010,30
2024-02-05,933,24
2024-02-06,1032,47
2024-02-07,1060,43
2024-02-08,1017,37
2024-02-09,997,38
2024-02-10,964,28
2024-02-11,911,46
2024-02-12,1079,37
2024-02-13,1019,39
2024-02-14,1018,44
2024-02-15,1061,20
2024-02-16,959,42
2024-02-17,948,17
2024-02-18,1124,23
2024-02-19,1007,23
2024-02-20,1043,49
2024-02-21,1061,44
2024-02-22,1001,38
2024-02-23,1067,39
2024-02-24,998,32
2024-02-25,1083,47
2024-02-26,1119,29
2024-02-27,1007,25
2024-02-28,1008,16
2024-02-29,964,41
2024-03-01,933,39
2024-03-02,1029,25
2024-03-03,976,11
2024-03-04,1046,43
2024-03-05,965,10
2024-03-06,989,38
2024-03-07,958,48
2024-03-08,997,27
2024-03-09,974,19
2024-03-10,1038,38
2024-03-11,1036,42
2024-03-12,1068,31
2024-03-13,1035,48
2024-03-14,955,12
2024-03-15,998,30
2024-03-16,1014,38
2024-03-17,1045,44
2024-03-18,968,17
2024-03-19,974,42
2024-03-20,989,32
2024-03-21,981,25
2024-03-22,960,15
2024-03-23,971,44
2024-03-24,1034,16
2024-03-25,992,22
2024-03-26,1039,21
2024-03-27,1109,44
2024-03-28,967,36
2024-03-29,1089,41
2024-03-30,983,20
2024-03-31,905,34
2024-04-01,1050,32
2024-04-02,1013,43
2024-04-03,1047,46
2024-04-04,977,10
2024-04-05,1024,36
2024-04-06,928,12
2024-04-07,970,31
2024-04-08,995,21
2024-04-09,1002,22
2024-04-10,1029,24
2024-04-11,1072,34
2024-04-12,1009,23
2024-04-13,912,39
2024-04-14,1000,26
2024-04-15,1063,12
2024-04-16,935,41
2024-04-17,962,21
2024-04-18,1028,27
2024-04-19,988,37
2024-04-20,995,23
2024-04-21,1012,12
2024-04-22,1049,24
2024-04-23,1086,47
2024-04-24,1029,35
2024-04-25,1012,36
2024-04-26,927,35
2024-04-27,997,17
2024-04-28,990,26
2024-04-29,1009,40
2024-04-30,1023,14
2024-05-01,936,21
2024-05-02,884,21
2024-05-03,960,27
2024-05-04,1053,49
2024-05-05,977,12
2024-05-06,1170,30
2024-05-07,1008,17
2024-05-08,994,48
2024-05-09,1094,14
2024-05-10,1067,26
2024-05-11,1027,39
2024-05-12,1042,38
2024-05-13,1038,26
2024-05-14,1011,23
2024-05-15,1071,25
2024-05-16,1022,20
2024-05-17,896,18
2024-05-18,993,29
2024-05-19,973,20
2024-05-20,990,21
2024-05-21,1039,36
2024-05-22,1025,48
2024-05-23,991,34
2024-05-24,1004,13
2024-05-25,938,13
2024-05-26,990,48
2024-05-27,987,21
2024-05-28,927,13
2024-05-29,992,33
2024-05-30,1004,34
2024-05-31,1046,35
2024-06-01,972,20
2024-06-02,962,10
2024-06-03,1120,48
2024-06-04,1028,20
2024-06-05,1052,37
2024-06-06,958,38
2024-06-07,949,34
2024-06-08,938,22
2024-06-09,989,20
2024-06-10,1050,33
2024-06-11,1092,44
2024-06-12,1001,47
2024-06-13,915,14
2024-06-14,995,16
2024-06-15,855,47
2024-06-16,1010,39
2024-06-17,981,45
2024-06-18,991,18
2024-06-19,950,33
2024-06-20,981,38
2024-06-21,937,37
2024-06-22,959,26
2024-06-23,867,10
2024-06-24,1047,33
2024-06-25,1066,20
2024-06-26,1095,28
2024-06-27,1011,48
2024-06-28,872,25
2024-06-29,971,43
2024-06-30,977,17
2024-07-01,1029,36
2024-07-02,1071,49
2024-07-03,1043,14
2024-07-04,985,10
2024-07-05,957,27
2024-07-06,976,13
2024-07-07,974,39
2024-07-08,1024,46
2024-07-09,1031,27
2024-07-10,1034,20
2024-07-11,941,27
2024-07-12,1042,38
2024-07-13,953,10
2024-07-14,1007,33
2024-07-15,1055,34
2024-07-16,958,35
2024-07-17,1038,19
2024-07-18,1052,38
2024-07-19,947,13
2024-07-20,918,17
2024-07-21,990,45
2024-07-22,904,39
2024-07-23,997,10
2024-07-24,1045,19
2024-07-25,987,18
2024-07-26,992,20
2024-07-27,915,19
2024-07-28,1043,12
2024-07-29,955,28
2024-07-30,971,39
2024-07-31,1082,34
2024-08-01,913,36
2024-08-02,972,13
2024-08-03,994,48
2024-08-04,1033,43
2024-08-05,1001,42
2024-08-06,1099,42
2024-08-07,1035,47
2024-08-08,1022,31
2024-08-09,964,18
2024-08-10,936,34
2024-08-11,991,39
2024-08-12,1001,39
2024-08-13,988,30
2024-08-14,881,12
2024-08-15,1018,24
2024-08-16,1016,46
2024-08-17,913,33
2024-08-18,944,31
2024-08-19,1040,20
2024-08-20,1082,24
2024-08-21,1000,45
2024-08-22,969,36
2024-08-23,986,41
2024-08-24,1003,28
2024-08-25,1000,35
2024-08-26,1032,19
2024-08-27,1022,38
2024-08-28,1031,27
2024-08-29,968,27
2024-08-30,998,35
2024-08-31,936,47
2024-09-01,1034,12
2024-09-02,1031,42
2024-09-03,965,21
2024-09-04,1056,27
2024-09-05,950,10
2024-09-06,1036,22
2024-09-07,1108,30
2024-09-08,1015,12
2024-09-09,1015,29
2024-09-10,1026,47
2024-09-11,1065,14
2024-09-12,967,40
2024-09-13,927,26
2024-09-14,1069,36
2024-09-15,1013,20
2024-09-16,1146,16
2024-09-17,1057,16
2024-09-18,965,12
2024-09-19,1034,17
2024-09-20,975,36
2024-09-21,1043,45
2024-09-22,968,42
2024-09-23,1035,37
2024-09-24,998,14
2024-09-25,1041,21
2024-09-26,943,22
2024-09-27,904,19
2024-09-28,963,30
2024-09-29,1019,31
2024-09-30,1067,24
2024-10-01,947,24
2024-10-02,1003,43
2024-10-03,1093,41
2024-10-04,959,22
2024-10-05,949,46
2024-10-06,950,48
2024-10-07,1032,23
2024-10-08,940,24
2024-10-09,1050,30
2024-10-10,1027,47
2024-10-11,1095,45
2024-10-12,1055,14
2024-10-13,1046,25
2024-10-14,1023,32
2024-10-15,981,30
2024-10-16,1103,17
2024-10-17,976,44
2024-10-18,977,37
2024-10-19,1028,43
2024-10-20,965,44
2024-10-21,1064,39
2024-10-22,1064,27
2024-10-23,991,34
2024-10-24,901,16
2024-10-25,930,36
2024-10-26,1007,17
2024-10-27,1002,37
2024-10-28,975,19
2024-10-29,1054,14
2024-10-30,967,16
2024-10-31,1041,10
2024-11-01,998,38
2024-11-02,899,39
2024-11-03,974,30
2024-11-04,975,16
2024-11-05,1051,13
2024-11-06,976,10
2024-11-07,1002,16
2024-11-08,1084,45
2024-11-09,1044,19
2024-11-10,1020,24
2024-11-11,1061,14
2024-11-12,994,18
2024-11-13,961,30
2024-11-14,1014,34
2024-11-15,886,19
2024-11-16,1045,12
2024-11-17,974,25
2024-11-18,1020,19
2024-11-19,1061,18
2024-11-20,1015,48
2024-11-21,999,34
2024-11-22,986,32
2024-11-23,978,26
2024-11-24,964,27
2024-11-25,1046,31
2024-11-26,1097,37
2024-11-27,982,38
2024-11-28,922,16
2024-11-29,1019,30
2024-11-30,978,26
2024-12-01,2998,3649
2024-12-02,3015,4162
2024-12-03,2919,4638
2024-12-04,2848,3288
2024-12-05,2739,4195
2024-12-06,2713,4025
2024-12-07,2654,3311
2024-12-08,2774,4263
2024-12-09,2560,3584
2024-12-10,2606,3993
2024-12-11,2591,3190
2024-12-12,2471,3964
2024-12-13,2326,3631
2024-12-14,2448,4675
2024-12-15,2373,3140
2024-12-16,2419,3847
2024-12-17,2385,3958
2024-12-18,2338,4462
2024-12-19,2292,4177
2024-12-20,2215,4366
2024-12-21,2247,4589
2024-12-22,2158,4761
2024-12-23,2212,3647
2024-12-24,2256,4086
